F1,F2,F3,F4
401.203,1003.485,949.14,792.094
421.25,1021.578,925.547,788.015
425.719,1035.75,907.328,704.781
431.235,1042.703,900.469,766.844
433.39,1044.985,902.468,781
440.047,1045.734,894.86,780.828
442.625,1044.906,897.812,680.859
448.672,1052.047,876.672,746
447.187,1049.735,877.703,681.062
451.782,1037.078,884.75,689.765
450.531,1039.203,888.969,714.656
427.859,1016.75,841.766,678.39
449.438,1046.031,875.313,655.781
455,1044.484,865.5,688.079
452.172,1036.406,874.531,688.031
444.281,1034.454,870.031,700.625
441.359,1027.313,877.39,735.563
447.407,1025.968,871.344,718.797
445.718,1020.079,870.781,684.906
356.297,1024.907,1013.937,733.656
426.063,1097.531,931.235,743.109
431.969,1097.297,925.312,698.765
425.703,1087.437,929.422,744.454
422.593,1079.735,924.015,722.219
415.547,1076.265,932.797,741.344
416.828,1080.75,915.313,742.641
413.422,1069.735,918.14,772.531
404.703,1061.079,925.593,723.422
404.25,1061.265,926.657,725.969
404.938,1054.578,920.828,704.672
389.703,1025.906,963.688,676.984
406.456,1060.3256,920.496,5.859
419.735,1065.875,916.953,716.407
417.328,1062.859,910.344,730.828
406.64,1052.938,910.578,687.672
397.125,1040.859,910.578,740.297
394.734,1033.281,915.125,748.718
397.093,1034.563,905.062,710.781
386.625,1020.719,909.953,725.469
378.906,1008.516,906.828,738.547
371.594,998.453,906.75,760.578
373.515,1002.375,901.875,756.86
378.937,1002.438,894.656,717.234
372.172,998.344,891.797,724.969
351.859,985.25,932.875,742.578
366.828,990.563,895.031,742.438
357.031,967.969,902.781,760.266
346.891,961.375,895.141,745.515
326.391,963.016,951.703,638.219
430.36,1051.046,874.61,687.172
407.031,1031.266,882.672,690.219
389.172,1008.359,885.297,690.953
376.703,992.438,888.234,722.485
364.672,975.86,887.937,716.844
364.266,972.719,885.39,731.109
359.328,964.625,882.187,684.547
346.64,955.766,882.641,759.766
339.109,942.672,881.797,751.016
326.484,933.016,882.359,754.188
329.14,935.516,874.203,734.391
323.656,926.031,871.531,720.125
319.235,912.875,873.281,728.844
308.938,898.328,866.813,757.484
294.266,884.422,870.125,766.562
301.39,887.781,864,903.343
299.031,877.579,860.171,757.875
281.5,864.735,857.031,752.063
275.797,849.906,859.922,789.563
266.094,836.766,857.468,789.61
261.516,827.781,852.391,775.688
256.312,819.422,847.11,780.594
251.219,807.156,846.672,777.546
245.875,793.906,847.031,883.485
233.344,783.703,844.187,803.5
230.656,774.985,839.593,800.672
225.765,762.094,834.891,824.234
213.406,748.531,833.219,847.578
210.75,736.562,827.282,824.485
170.469,723.719,853.25,847.641
218.234,746.516,831.938,821.656
198.625,709.25,827.265,835.969
185.969,691.781,824.141,833.156
188.313,686.343,817.844,850.859
193.14,695.672,814.656,862.422
190.344,688.812,808.547,821.781
185.407,676.437,802.297,870.891
175.609,656.016,797.093,847.796
165.375,640.828,796.5,882.765
170.516,647.109,794.906,876.875
170.14,643.469,791.406,853.453
150.406,663.985,842.453,824.437
210.593,713.547,808.563,818.875
198.296,691.516,804.016,859.578
180.579,663.609,800.656,867.969
176.031,652.828,794.891,850.953
170.093,639.016,789.781,836.25
165.547,630.641,787.156,839.156
161.031,620.766,784.297,871
160.157,611.234,781.719,885.25
150.312,600.579,774.781,894.407
147.563,595.828,768.984,871.031
142.797,590.312,764.75,873.782
140.531,575.688,764.843,847.625
